企业代号,HHI,max_purchase_amount,max_sales_amount,Return_rate,Cancel_rate,Unstable_rate,Cus_rate,Q_avg_income,Q_out_profit_rate,Q_in_profit_rate,Q_profit_growth,Q_output_growth,Q_input_growth,Q_input,Year_avg_Sales
E270,0.264,99774.16,99988.37,0.015,0.255,0.0,0.113,4822350.34,0.597,2.207,1.041,0.801,-0.006,2279853.003,7102203.343
E271,0.079,976923.08,946902.66,0.05,0.473,0.333,1.241,1210965.19,0.072,0.147,-1.003,0.098,-0.041,8001763.847,9212729.037
E272,0.153,109944.92,99137.93,0.084,0.108,0.0,0.225,2609402.007,0.603,1.523,0.342,0.507,0.51,1724734.593,4334136.6
E273,0.001,469664.29,9825.24,0.002,0.012,0.5,-0.164,3591180.04,0.477,0.914,-0.115,-0.147,-0.122,3891587.35,7482767.39
E274,0.116,22718.45,97087.38,0.007,0.115,0.0,0.833,6326415.24,0.998,668.182,1.108,2.224,10.802,18394.0,6344809.24
E275,0.073,305512.82,97087.38,0.065,0.263,1.0,-0.322,6686001.32,0.909,10.756,0.068,0.089,0.142,652385.61,7338386.93
E276,0.148,307724.25,99933.21,0.041,0.128,0.333,-0.365,2454886.55,0.68,19.689,-0.095,0.431,11.083,1611366.033,4066252.583
E277,0.743,136785.93,99561.06,0.005,0.061,0.5,-0.028,476975.073,0.112,0.198,-24.492,0.146,0.629,4924685.173,5401660.247
E278,0.133,157345.13,99833.63,0.012,0.069,0.333,-0.05,-774841.083,-0.155,-0.108,-3.337,0.997,1.43,4525039.373,3750198.29
E279,0.817,156123.71,99999.67,0.085,0.053,1.0,0.722,1017846.477,0.11,0.166,0.12,1.138,1.467,6454814.52,7472660.997
E280,0.034,248377.3,99998.23,0.007,0.085,0.5,0.216,459050.287,0.114,0.157,-1.562,0.296,0.616,4754293.967,5213344.253
E281,0.206,1247906.12,97849.72,0.002,0.065,1.0,-0.047,-2169603.177,-0.479,-0.305,-0.082,0.568,0.299,7325660.557,5156057.38
E282,0.095,275585.32,97456.56,0.011,0.049,1.0,0.048,2571286.41,0.369,0.591,0.007,-0.011,0.005,4380661.37,6951947.78
E283,0.132,99833.57,99783.26,-0.0,0.026,0.333,0.415,-466612.603,-0.103,-0.071,-3.263,2.855,6.704,5988636.023,5522023.42
E284,0.306,99120.0,99829.06,0.0,0.055,0.333,-0.184,396791.353,0.067,0.08,-63.998,0.376,0.268,4299521.273,4696312.627
E285,0.067,660377.36,99987.93,0.012,0.137,0.0,-0.16,2951056.427,0.241,0.811,-3.079,0.266,-0.005,7045181.693,9996238.12
E286,0.13,344827.59,99999.34,0.015,0.295,0.5,-0.139,-28754.03,0.007,0.008,-1.167,1.063,1.206,6565567.185,6536813.155
E287,0.113,347844.83,88938.05,0.004,0.156,0.0,0.461,-1095254.853,-0.247,-0.192,2.809,1.726,1.864,5777194.307,4681939.453
E288,0.12,99994.87,99871.55,0.016,0.281,0.5,0.09,559419.017,0.135,0.503,-0.46,0.106,1.657,5192522.067,5751941.083
E289,0.079,290598.29,95904.66,0.005,0.042,3.0,-0.27,4273098.627,0.61,3.277,-0.032,-0.117,2.054,2694745.39,6967844.017
E290,0.121,99568.97,99319.46,0.009,0.172,0.333,-0.395,3544107.727,0.641,1.952,0.042,0.165,0.584,2063445.277,5607553.003
E291,0.953,3840282.86,99997.26,0.01,0.045,1.0,13.552,-3385447.067,-43.765,-0.582,-0.178,151.989,0.894,6675986.973,3290539.907
E292,0.199,115323.16,17517.36,0.001,0.028,0.333,3.236,1145037.6,0.358,0.615,11.047,20.082,110.946,2529979.033,3675016.633
E293,0.561,834651.66,99534.48,-0.0,0.1,0.333,0.278,-772593.053,-0.145,0.039,-1.489,1.836,4.717,2962320.673,2189727.62
E294,0.068,98290.6,99829.06,0.004,0.166,2.0,-0.062,5769318.863,0.771,4.35,-0.145,-0.13,0.639,1650179.92,7419498.783
E295,0.051,927929.35,99984.42,0.008,0.237,0.333,0.767,137378.517,0.008,0.013,-7.074,1.06,1.058,4232061.007,4369439.523
E296,0.35,98079.72,99999.0,0.107,0.176,1.0,0.405,2178616.857,0.365,0.707,78.139,20.077,10.48,2192065.043,4370681.9
E297,0.42,963362.07,99627.35,-0.0,0.112,1.0,0.25,333132.92,0.671,-0.662,-56.357,-34609.917,42935.881,3519653.333,3852786.253
E298,0.292,27851.72,9708.74,0.009,0.137,1.0,-0.489,3513692.173,0.664,190.717,-0.03,0.385,43.011,1895893.27,5409585.443
E299,0.291,884955.75,796460.18,0.022,0.155,0.333,44.511,-2174831.093,-0.284,-0.195,8.714,0.296,0.606,8786065.45,6611234.357
E300,0.154,154867.25,99990.0,0.017,0.087,0.333,0.608,166479.543,0.144,0.574,-3.426,4.769,12.84,4411834.96,4578314.503
E301,0.12,92233.01,97087.38,0.01,0.075,0.333,-0.267,3837918.097,0.764,5.205,0.148,0.434,2.275,1387516.253,5225434.35
E302,0.086,365010.34,99487.18,0.008,0.111,0.333,-0.285,1443268.647,0.437,0.847,1.27,1.048,0.612,1475711.817,2918980.463
E303,0.099,677758.62,99999.99,0.0,0.028,1.0,-0.187,4326107.987,0.779,44.137,0.486,0.217,28.948,1054072.497,5380180.483
E304,0.044,379646.02,99115.04,-0.0,0.053,0.0,2.514,-3705302.33,-1.219,-0.543,15.56,2.655,4.639,6444680.29,2739377.96
E305,0.198,978833.33,970873.79,0.005,0.251,3.0,-0.222,12078145.443,0.72,3.36,-0.157,-0.347,-0.501,6558440.217,18636585.66
E306,0.084,99568.97,99999.0,0.029,0.123,0.0,0.224,3023951.893,0.735,6.301,0.057,0.444,3.084,1357454.277,4381406.17
E307,0.325,192233.01,97087.38,-0.0,0.185,0.333,0.639,678389.913,0.567,1.646,2.828,6.108,12.251,1030492.273,1708882.187
E308,0.001,99999.98,9999.0,0.005,0.101,0.333,9.707,1304863.253,0.354,1.007,15.042,13.857,11.827,2919483.35,4224346.603
E309,0.084,99928.57,99082.57,0.005,0.207,0.5,0.563,2312627.853,0.473,1.601,-0.193,0.283,2.012,2525279.267,4837907.12
E310,0.022,198000.0,97087.38,0.031,0.088,1.0,0.009,2407870.613,0.667,2.256,1.277,1.792,1.648,1211418.357,3619288.97
E311,0.042,62663.72,97087.38,0.052,0.118,1.0,24.492,2890633.337,1.972,2.468,-13.011,-99.421,4.816,705561.887,3596195.223
E312,0.175,884955.74,99913.79,0.036,0.037,0.333,3.239,-26109953.617,-7.71,-0.844,4.333,4.262,4.329,29596968.11,3487014.493
E313,0.199,306896.55,99732.54,0.024,0.069,1.0,-0.327,1298476.663,0.3,0.487,1.722,0.423,0.098,2768209.163,4066685.827
E314,0.225,194174.76,98415.53,0.017,0.136,0.333,0.417,1700666.163,0.714,17.382,0.163,0.809,14.455,1019743.25,2720409.413
E315,0.143,129380.53,9999.14,0.001,0.025,0.333,-0.292,2271729.737,0.7,2.48,0.135,0.154,0.195,963643.67,3235373.407
E316,0.465,318690.26,99993.57,0.036,0.117,0.0,0.735,2479573.4,0.756,3.442,0.345,0.743,1.628,956589.483,3436162.883
E317,0.073,316981.13,94339.62,0.042,0.216,0.0,0.805,1529700.973,0.495,1.744,50.639,4.901,1.459,637932.49,2167633.463
E318,0.184,97217.96,96172.0,0.002,0.158,0.333,-0.143,3123005.137,0.894,8.953,0.034,0.054,0.238,370906.177,3493911.313
E319,0.033,98666.67,99314.53,0.003,0.097,2.0,-0.05,1232538.573,0.254,0.887,-0.415,-0.178,0.936,2936347.86,4168886.433
E320,0.423,5330000.0,94339.62,-0.0,0.061,0.333,0.0,545742.623,40.866,0.204,-36.954,-10977.521,37.817,2279923.907,2825666.53
E321,0.036,273586.18,99099.1,0.024,0.125,0.333,-0.32,1691915.967,0.416,0.805,0.798,0.523,0.175,1996660.33,3688576.297
E322,0.223,499642.86,94339.62,0.129,0.087,0.0,0.117,-424173.293,-0.342,-0.193,-0.539,1.466,0.702,3635813.087,3211639.793
E323,0.383,99999.99,91743.12,-0.0,0.274,0.0,0.429,455665.843,169.399,-0.029,0.367,-2327.663,10.04,1666055.75,2121721.593
E324,0.34,422946.54,99397.69,0.01,0.23,0.333,0.569,-25483122.49,-6.168,-0.842,1.773,1.438,1.708,30325781.96,4842659.47
E325,0.15,977518.4,99999.0,0.011,0.103,1.0,-0.33,-8278527.42,-2.384,-0.66,0.586,-0.066,0.475,11886271.873,3607744.453
E326,0.186,99422.3,99893.16,-0.0,0.1,1.0,-0.074,-180473.953,-0.054,-0.04,-0.86,0.013,-0.105,3581015.75,3400541.797
E327,0.843,99502.9,99922.41,0.001,0.065,2.0,-0.429,922779.897,0.091,0.313,-0.937,-0.32,0.041,4435309.037,5358088.933
E328,0.1,99137.93,99056.6,0.037,0.141,0.0,0.457,1840882.437,0.663,7.138,1.672,1.776,15.061,1045786.057,2886668.493
E329,0.227,282.08,99992.0,-0.0,0.034,0.333,0.632,3489527.783,1.0,-17077.826,1.074,1.611,3.247,349.0,3489876.783
E330,0.25,43025.64,9707.77,0.003,0.006,0.333,-0.427,1622528.677,0.655,2.539,0.093,0.447,1.736,995444.423,2617973.1
E331,0.291,247572.82,94339.62,0.017,0.044,1.0,0.238,1527715.497,0.736,3.309,0.905,0.87,0.338,447156.14,1974871.637
E332,0.787,810814.44,99888.89,0.005,0.018,3.0,-0.25,2285615.393,-0.136,0.905,-0.878,-0.739,0.161,6377106.223,8662721.617
E333,0.632,329911.5,97087.38,0.002,0.087,0.333,-0.361,2007107.707,0.834,7.236,0.219,0.476,1.904,466535.19,2473642.897
E334,0.609,99794.82,99995.74,0.016,0.101,1.0,-0.28,189457.833,0.136,0.191,-0.316,1.509,2.354,2105739.91,2295197.743
E335,0.339,194690.27,88495.58,-0.0,0.087,0.5,-0.55,173358.59,0.333,16.712,-0.863,1.312,103.563,1981077.53,2154436.12
E336,0.376,111886.0,99897.0,-0.0,0.004,1.0,-0.513,867004.463,0.669,71.542,9.674,15.353,181.524,87379.333,954383.797
E337,0.056,90576.42,99716.24,0.008,0.146,2.0,-0.134,3699194.717,0.968,35.412,-0.259,-0.383,-0.008,107555.927,3806750.643
E338,0.2,31682.06,97087.38,-0.0,0.084,1.0,0.056,2042533.057,0.908,10.777,-0.025,-0.003,0.414,207101.603,2249634.66
E339,0.109,98460.68,87610.63,0.034,0.053,2.0,-0.656,71279.585,0.081,0.11,-1.64,-0.466,-0.598,1659955.38,1731234.965
E340,0.074,11983.69,97087.38,0.098,0.225,0.5,-0.265,2691040.34,0.995,272.347,-0.02,-0.034,-0.184,12223.333,2703263.673
E341,0.066,97627.12,93193.97,-0.0,0.094,1.0,-0.222,747995.04,0.434,1.084,-0.389,-0.321,0.546,822534.62,1570529.66
E342,0.233,98307.69,97507.08,0.002,0.202,1.0,-0.272,777361.777,0.466,1.126,0.439,0.255,0.452,843590.843,1620952.62
E343,0.41,264.15,9999.8,0.023,0.082,1.0,-0.354,874093.963,1.0,4856.078,0.628,0.942,0.0,280.0,874373.963
E344,0.058,104137.93,94358.97,0.089,0.047,1.0,-0.149,139730.383,0.19,0.435,1.783,0.206,0.538,537462.343,677192.727
E345,0.178,73418.81,99137.93,-0.0,0.152,0.333,-0.096,503702.52,0.671,2.363,0.591,0.593,0.332,217758.347,721460.867
E346,0.042,99145.3,9989.21,0.001,0.07,0.5,0.178,-182537.21,-0.298,-0.189,-2.143,0.124,-0.031,906797.64,724260.43
E347,0.054,54000.0,84789.06,-0.0,0.044,1.0,-0.272,237759.12,0.379,0.717,0.619,0.019,-0.036,376309.193,614068.313
E348,0.051,63083.45,990.29,0.011,0.051,1.0,-0.408,479499.327,0.665,2.5,0.016,0.281,1.239,262205.287,741704.613
E349,0.333,2500.0,97087.38,-0.0,0.0,2.0,-0.5,1073918.523,13.149,1311.206,-0.453,-0.678,2.246,2482.017,1076400.54
E350,0.115,56752.14,97087.38,0.01,0.16,0.333,0.328,390386.9,0.672,2.425,1.439,1.501,0.798,141280.34,531667.24
E351,0.148,83592.23,97087.38,-0.0,0.245,0.333,0.589,319735.25,0.703,4.582,16.455,13.403,7.114,103398.017,423133.267
E352,0.026,825112.57,97087.38,-0.0,0.088,1.0,-0.27,-3667177.717,-4.604,-0.759,0.669,-0.122,0.451,4599617.377,932439.66
E353,0.039,11000.0,97087.38,0.041,0.248,1.0,-0.436,982786.773,0.892,8.845,-0.13,-0.162,0.28,120526.407,1103313.18
E354,0.125,99115.04,28548.54,0.025,0.095,1.0,-0.202,555879.987,0.745,3.284,-0.024,0.083,0.656,196076.667,751956.653
E355,0.038,504761.9,9707.77,-0.0,0.05,0.333,1.364,30398.343,0.5,380.691,0.407,2.086,2943.044,353520.0,383918.343
E356,0.841,15600.0,9708.05,-0.0,0.005,0.333,0.667,454929.937,0.991,692.167,1.036,1.595,-79.894,5386.667,460316.603
E357,0.215,14150.94,9708.74,-0.0,0.073,0.333,0.028,408127.007,0.935,16.561,0.905,1.286,0.426,22171.733,430298.74
E358,0.105,264.15,9910.53,0.135,0.212,0.333,0.419,588069.893,1.0,2144.234,0.798,1.197,-1.4,186.667,588256.56
E359,0.094,264.15,9707.77,0.012,0.099,0.5,-0.583,625116.19,1.0,3472.868,0.071,0.142,0.0,280.0,625396.19
E360,0.709,264.15,99029.13,-0.0,0.187,2.0,0.0,1001226.557,1.0,-6409.223,-0.368,-0.552,-3.104,280.0,1001506.557
E361,0.097,224271.84,97087.38,-0.0,0.127,1.0,-0.26,562456.08,0.305,0.563,13.771,0.023,-0.145,1092936.533,1655392.613
E362,0.18,86641.03,97087.38,0.045,0.11,3.0,-0.322,1260735.347,0.814,6.101,-0.481,-0.686,-0.417,168787.267,1429522.613
E363,0.213,29135.92,94845.12,-0.0,0.435,0.333,1.012,396455.293,0.656,4.976,7.579,3.981,0.609,71854.813,468310.107
E364,0.038,18965.52,9978.63,0.017,0.075,3.0,-0.202,450645.637,0.733,3.119,-0.156,-0.122,0.283,157031.65,607677.287
E365,0.262,99637.17,99823.01,-0.0,0.166,0.333,-0.36,480283.203,0.5,1.103,0.623,1.883,3.198,710722.353,1191005.557
E366,0.192,119348.57,93024.76,-0.0,0.06,0.0,1.0,353359.09,0.8,721.491,-0.065,0.329,73.101,126687.103,480046.193
E367,0.209,157142.86,97087.38,0.042,0.117,0.5,0.024,626289.583,0.864,1397.631,-0.157,-0.016,83.355,90102.95,716392.533
E368,0.096,97087.38,92188.01,0.059,0.66,0.5,0.25,220333.48,0.635,3.448,0.749,2.462,14.57,189841.387,410174.867
E369,0.228,89175.0,9926.72,0.006,0.076,3.0,0.064,157436.06,0.434,1.565,0.308,-0.217,-0.371,265335.393,422771.453
E370,0.084,271.84,9707.77,0.023,0.058,1.0,-0.207,644838.53,1.0,1153.596,0.627,0.941,0.092,365.667,645204.197
E371,0.192,40598.29,97087.38,-0.0,0.248,1.0,0.833,401022.33,0.847,7.826,0.414,0.51,0.078,68264.18,469286.51
E372,0.146,34310.78,23839.81,0.037,0.109,1.0,-0.386,477789.877,0.708,2.927,0.018,-0.136,-0.465,214706.557,692496.433
E373,0.293,292307.96,94858.41,-0.0,0.01,0.0,0.333,-7408052.11,-35.036,-0.955,1.168,3.096,1.779,7790619.717,382567.607
E374,0.067,46601.94,9707.77,-0.0,0.19,2.0,-0.322,680695.655,0.945,2705.951,-0.3,-0.551,266.667,24280.0,704975.655
E375,0.025,264.15,9707.77,-0.0,0.088,0.333,-0.004,343572.64,1.0,852.354,0.347,0.522,-1.4,186.667,343759.307
E376,0.243,5825.24,97087.38,-0.0,0.43,0.0,-0.25,389446.85,0.976,1829.0,2.141,4.029,-0.971,3280.0,392726.85
E377,0.103,9708.74,95045.63,0.019,0.365,0.0,0.689,259520.287,0.801,-443.04,0.608,1.131,-514.723,84210.667,343730.953
E378,0.096,99353.99,66138.05,0.068,0.353,0.333,1.741,-58787.303,-0.607,-0.182,-7.534,8.611,5.209,407012.317,348225.013
E379,0.381,128205.13,94200.0,-0.0,0.161,3.0,-0.59,252955.9,0.35,0.758,0.045,-0.447,-0.293,523610.927,776566.827
E380,0.873,264.15,9999.99,0.086,0.16,1.0,0.083,376472.437,1.0,1851.176,4.407,6.613,-2.178,186.667,376659.103
E381,0.119,907491.29,94017.09,0.109,0.009,0.333,1.25,-30302281.647,-98.982,-0.986,1.908,1.084,1.866,30657074.54,354792.893
E382,0.008,435.09,9708.74,-0.0,0.0,0.333,1.313,164014.753,0.993,-703.196,3.193,4.663,-1.041,253.333,164268.087
E383,0.749,71234.96,9699.03,0.061,0.157,1.0,-0.778,225689.333,41.798,135.008,-22.74,-4447.452,49.208,78090.0,303779.333
E384,0.414,95775.86,96551.72,-0.0,0.19,0.5,0.667,-349021.51,-188.524,-0.381,-0.444,424.616,0.067,1026456.933,677435.423
E385,0.225,2830.19,95657.28,0.049,1.335,0.5,1.7,349809.553,0.933,70.305,6.769,8.344,0.163,6394.667,356204.22
E386,0.419,12355.85,97087.38,0.053,0.246,2.0,0.1,1603680.153,0.964,368.254,-0.439,-0.653,-0.044,66025.787,1669705.94
E387,0.544,730.12,9708.74,-0.0,0.093,0.5,0.625,291204.227,0.998,1331.698,0.2,0.298,-0.375,460.0,291664.227
E388,0.081,1709.4,9708.74,-0.0,0.135,1.0,0.006,337977.087,0.903,693.135,0.041,0.069,180.144,34728.6,372705.687
E389,0.986,2400.0,9943.2,-0.0,0.022,0.0,1.0,227267.37,0.995,268.675,0.47,0.949,5.053,1440.0,228707.37
E390,1.0,2199.03,97087.38,-0.0,0.0,0.5,0.0,254327.287,0.989,120.067,0.362,0.527,-0.293,2426.267,256753.553
E391,0.055,311.32,9706.8,0.007,0.122,3.0,-0.327,442393.19,1.0,2229.265,-0.149,-0.223,-0.109,296.667,442689.857
E392,0.033,6650.0,67961.17,0.004,0.155,1.0,-0.373,316663.527,0.89,164.233,0.167,0.162,28.075,30457.587,347121.113
E393,0.064,40116.18,9494.76,0.028,0.154,1.0,-0.283,176320.39,0.528,467.02,-0.45,-0.02,331.252,151108.413,327428.803
E394,0.341,42678.0,97310.68,-0.0,1.205,0.333,2.1,473160.74,-26.104,4.376,-5.052,31.222,-0.278,291165.373,764326.113
E395,0.254,18965.52,99675.21,0.0,0.58,2.0,-0.267,741665.537,0.812,6.828,-0.496,-0.704,-0.3,93134.34,834799.877
E396,0.212,55532.48,93396.23,0.026,0.315,3.0,-0.25,-6131.153,-0.309,-0.088,-2.97,-0.628,-0.489,260794.927,254663.773
E397,0.099,357758.62,9699.03,-0.0,0.246,1.0,-0.294,113699.067,0.5,423.909,-1.486,0.099,1193.403,147546.667,261245.733
E398,0.65,5724.53,9708.74,-0.0,0.0,1.0,-0.398,172729.627,0.856,6.596,0.25,0.299,0.117,27056.93,199786.557
E399,0.167,4854.36,87378.64,-0.0,0.141,2.0,-0.583,233984.25,0.96,24.05,-0.194,-0.39,-0.441,9955.6,243939.85
E400,0.085,44518.58,9502.43,-0.0,0.094,3.0,-0.228,264724.39,0.842,1174.4,-0.284,-0.322,195.513,23771.217,288495.607
E401,0.33,31859.96,78703.41,-0.0,0.637,0.333,0.6,83857.153,0.645,2.5,2.817,6.5,18.876,62228.283,146085.437
E402,0.294,9965.81,73931.62,0.066,0.282,0.5,0.125,6780.753,0.014,0.18,-1.388,0.064,-0.348,160736.0,167516.753
E403,0.317,9659.4,95543.01,-0.0,0.107,3.0,-0.486,385875.383,0.902,14.632,-0.272,-0.394,0.124,30198.723,416074.107
E404,0.157,258119.66,90909.09,-0.0,0.659,0.5,0.0,85969.507,-0.149,3.46,-1.122,1.082,6.104,325828.333,411797.84
E405,0.295,9433.96,97087.38,-0.0,0.0,3.0,-0.414,157450.293,0.888,68.731,-0.263,-0.557,-0.929,33779.707,191230.0
E406,0.298,38834.95,79592.79,0.024,0.436,0.0,-0.083,135120.833,0.764,45.828,0.203,0.762,31.867,60921.363,196042.197
E407,0.283,88543.69,95145.63,0.061,0.525,0.333,0.278,667693.063,0.853,15.016,2.399,3.179,7.059,118481.897,786174.96
E408,0.263,9708.7,63106.8,-0.0,0.221,1.0,-0.089,180831.547,0.88,7.418,-0.031,-0.047,-0.027,25261.533,206093.08
E409,0.078,9433.96,8737.86,-0.0,0.159,0.333,0.555,64112.903,0.812,4.551,1.067,1.75,2.806,16566.333,80679.237
E410,0.076,2034.3,60000.0,0.02,0.021,0.333,-0.135,129336.477,0.966,625.895,-0.027,0.007,11.824,4627.85,133964.327
E411,0.087,74928.57,9514.56,0.048,0.499,1.0,-0.171,42320.05,0.406,137.058,-0.528,0.236,261.507,83770.343,126090.393
E412,0.026,7913.0,9708.74,-0.0,0.097,1.0,-0.22,85720.327,0.701,28.828,-0.088,0.166,16.821,27226.787,112947.113
E413,0.31,4912.93,9704.85,-0.0,0.19,0.333,0.5,94165.293,0.82,-21.094,7.277,6.366,-58.679,9002.767,103168.06
E414,0.316,5370.12,88834.95,-0.0,0.343,0.5,-0.6,160342.45,9.426,72.851,-56.239,-2314.343,0.45,3427.443,163769.893
E415,0.006,8571.43,964.08,0.038,0.0,0.5,-0.509,31460.17,0.785,-196.848,-0.204,0.049,-180.0,9000.0,40460.17
E416,0.309,68713.23,9708.74,-0.0,0.083,0.5,-0.5,11829.913,1.206,91.349,23.677,-782.152,510.179,61531.247,73361.16
E417,0.35,78461.54,95650.49,-0.0,0.0,1.0,0.0,-5295.54,0.063,0.208,0.594,-0.143,-0.42,57568.82,52273.28
E418,0.318,14693.4,90949.51,-0.0,0.059,1.0,-0.917,129910.387,8.932,5.948,-44.539,-1912.295,7.34,15754.487,145664.873
E419,0.525,912859.82,15094.34,-0.0,0.0,0.333,0.0,-3372128.45,1866.357,-0.997,1.763,-66.574,2.658,3388445.43,16316.98
E420,0.031,80820.85,4905.0,-0.0,0.152,1.0,-0.317,-672301.79,-28.792,-0.965,0.254,0.058,0.366,695512.45,23210.66
E421,0.436,3773.58,9990.29,-0.0,0.0,0.5,-0.417,68719.897,0.714,45.224,0.119,0.344,15.317,10723.333,79443.23
E422,0.106,436.56,8106.8,-0.0,0.047,0.5,-0.267,12543.525,0.941,33.009,2.816,4.909,0.0,480.0,13023.525
E423,0.315,9700.85,32815.53,-0.0,0.077,0.5,0.25,2328.327,-0.324,0.326,-1.216,0.605,-0.341,23017.233,25345.56
E424,0.724,63309.06,9300.0,0.014,0.14,0.5,0.4,-62328.173,-8.108,-10.2,0.808,12.221,-458.357,90666.463,28338.29
E425,0.818,9230.77,9623.3,-0.0,0.792,2.0,0.0,41806.93,-0.218,1.224,-0.584,-0.895,-0.086,32191.82,73998.75
